20220102 185900;0.726760;0.726760;0.726710;0.726710;0
20220102 190000;0.726690;0.726780;0.726690;0.726750;0
20220102 190100;0.726740;0.726770;0.726710;0.726710;0
20220102 190200;0.726710;0.726750;0.726650;0.726650;0
20220102 190300;0.726670;0.726720;0.726610;0.726630;0
20220102 190400;0.726630;0.726660;0.726600;0.726600;0
20220102 190500;0.726640;0.726640;0.726600;0.726620;0
20220102 190600;0.726630;0.726650;0.726570;0.726610;0
20220102 190700;0.726610;0.726640;0.726610;0.726620;0
20220102 190800;0.726630;0.726680;0.726610;0.726680;0
20220102 190900;0.726670;0.726750;0.726660;0.726750;0
20220102 191000;0.726770;0.726770;0.726750;0.726770;0
20220102 191100;0.726770;0.726820;0.726770;0.726820;0
20220102 191200;0.726820;0.726820;0.726720;0.726720;0
20220102 191300;0.726740;0.726740;0.726650;0.726650;0
20220102 191400;0.726670;0.726670;0.726610;0.726620;0
20220102 191500;0.726630;0.726630;0.726560;0.726600;0
20220102 191600;0.726620;0.726630;0.726620;0.726630;0
20220102 191700;0.726660;0.726930;0.726660;0.726930;0
20220102 191800;0.726920;0.726960;0.726880;0.726880;0
20220102 191900;0.726910;0.726940;0.726890;0.726920;0
20220102 192000;0.726920;0.727020;0.726910;0.727020;0
20220102 192100;0.727060;0.727090;0.727040;0.727060;0
20220102 192200;0.727070;0.727100;0.727060;0.727080;0
20220102 192300;0.727080;0.727080;0.727020;0.727070;0
20220102 192400;0.727070;0.727220;0.727070;0.727210;0
20220102 192500;0.727210;0.727320;0.727210;0.727320;0
20220102 192600;0.727310;0.727310;0.727110;0.727180;0
20220102 192700;0.727180;0.727260;0.727180;0.727240;0
20220102 192800;0.727250;0.727310;0.727250;0.727270;0
20220102 192900;0.727280;0.727280;0.727100;0.727120;0
20220102 193000;0.727090;0.727100;0.727050;0.727050;0
20220102 193100;0.727050;0.727060;0.727040;0.727060;0
20220102 193200;0.727050;0.727050;0.726880;0.726910;0
20220102 193300;0.726890;0.726910;0.726850;0.726910;0
20220102 193400;0.726910;0.726920;0.726780;0.726780;0
20220102 193500;0.726760;0.726760;0.726720;0.726760;0
20220102 193600;0.726800;0.726860;0.726800;0.726860;0
20220102 193700;0.726850;0.726850;0.726810;0.726850;0
20220102 193800;0.726860;0.726880;0.726820;0.726830;0
20220102 193900;0.726820;0.726820;0.726700;0.726700;0
20220102 194000;0.726680;0.726760;0.726650;0.726740;0
20220102 194100;0.726740;0.726750;0.726740;0.726750;0
20220102 194200;0.726720;0.726720;0.726690;0.726690;0
20220102 194300;0.726660;0.726740;0.726660;0.726740;0
20220102 194400;0.726750;0.726810;0.726750;0.726810;0
20220102 194500;0.726800;0.726800;0.726750;0.726750;0
20220102 194600;0.726750;0.726750;0.726650;0.726660;0
20220102 194700;0.726670;0.726690;0.726650;0.726650;0
20220102 194800;0.726610;0.726610;0.726540;0.726570;0
20220102 194900;0.726600;0.726640;0.726580;0.726600;0
20220102 195000;0.726590;0.726600;0.726550;0.726570;0
20220102 195100;0.726560;0.726610;0.726540;0.726550;0
20220102 195200;0.726550;0.726570;0.726540;0.726550;0
20220102 195300;0.726540;0.726570;0.726530;0.726560;0
20220102 195400;0.726550;0.726590;0.726550;0.726570;0
20220102 195500;0.726580;0.726580;0.726480;0.726520;0
20220102 195600;0.726500;0.726520;0.726490;0.726510;0
20220102 195700;0.726520;0.726530;0.726490;0.726500;0
20220102 195800;0.726510;0.726540;0.726490;0.726540;0
20220102 195900;0.726530;0.726530;0.726500;0.726510;0
20220102 200000;0.726490;0.726530;0.726470;0.726510;0
20220102 200100;0.726510;0.726520;0.726450;0.726510;0
20220102 200200;0.726500;0.726530;0.726460;0.726530;0
20220102 200300;0.726520;0.726530;0.726480;0.726480;0
20220102 200400;0.726490;0.726570;0.726480;0.726570;0
20220102 200500;0.726600;0.726640;0.726530;0.726550;0
20220102 200600;0.726520;0.726600;0.726520;0.726520;0
20220102 200700;0.726530;0.726570;0.726530;0.726570;0
20220102 200800;0.726590;0.726720;0.726590;0.726670;0
20220102 200900;0.726670;0.726820;0.726670;0.726810;0
20220102 201000;0.726820;0.726820;0.726680;0.726720;0
20220102 201100;0.726720;0.726720;0.726720;0.726720;0
20220102 201200;0.726690;0.726840;0.726670;0.726840;0
20220102 201300;0.726880;0.726970;0.726870;0.726970;0
20220102 201400;0.727000;0.727160;0.727000;0.727080;0
20220102 201500;0.727070;0.727180;0.727070;0.727160;0
20220102 201600;0.727210;0.727370;0.727210;0.727370;0
20220102 201700;0.727370;0.727440;0.727370;0.727440;0
20220102 201800;0.727470;0.727530;0.727460;0.727530;0
20220102 201900;0.727560;0.727620;0.727560;0.727620;0
20220102 202000;0.727620;0.727620;0.727570;0.727610;0
20220102 202100;0.727590;0.727610;0.727560;0.727600;0
20220102 202200;0.727620;0.727630;0.727550;0.727550;0
20220102 202300;0.727560;0.727660;0.727480;0.727490;0
20220102 202400;0.727490;0.727570;0.727490;0.727560;0
20220102 202500;0.727570;0.727610;0.727560;0.727570;0
20220102 202600;0.727570;0.727580;0.727450;0.727450;0
20220102 202700;0.727440;0.727450;0.727440;0.727450;0
20220102 202800;0.727450;0.727450;0.727350;0.727350;0
20220102 202900;0.727340;0.727400;0.727270;0.727270;0
20220102 203000;0.727260;0.727260;0.727200;0.727250;0
20220102 203100;0.727260;0.727260;0.727060;0.727060;0
20220102 203200;0.727060;0.727070;0.726950;0.726970;0
20220102 203300;0.726980;0.727090;0.726980;0.727090;0
20220102 203400;0.727070;0.727070;0.726970;0.726980;0
20220102 203500;0.726980;0.727000;0.726790;0.726810;0
20220102 203600;0.726800;0.726800;0.726540;0.726540;0
20220102 203700;0.726540;0.726560;0.726480;0.726490;0
20220102 203800;0.726480;0.726590;0.726460;0.726590;0
20220102 203900;0.726620;0.726650;0.726550;0.726570;0
20220102 204000;0.726540;0.726560;0.726030;0.726150;0
20220102 204100;0.726130;0.726140;0.725720;0.725840;0
20220102 204200;0.725840;0.725970;0.725680;0.725890;0
20220102 204300;0.725900;0.725970;0.725850;0.725950;0
20220102 204400;0.725940;0.726020;0.725930;0.725970;0
20220102 204500;0.725960;0.725970;0.725550;0.725560;0
20220102 204600;0.725560;0.725580;0.725400;0.725410;0
20220102 204700;0.725390;0.725570;0.725300;0.725460;0
20220102 204800;0.725460;0.725520;0.725460;0.725510;0
20220102 204900;0.725550;0.725670;0.725520;0.725590;0
20220102 205000;0.725580;0.725640;0.725410;0.725640;0
20220102 205100;0.725650;0.725660;0.725570;0.725600;0
20220102 205200;0.725630;0.725630;0.725520;0.725520;0
20220102 205300;0.725520;0.725750;0.725490;0.725710;0
20220102 205400;0.725690;0.725700;0.725580;0.725590;0
20220102 205500;0.725600;0.725680;0.725560;0.725610;0
20220102 205600;0.725590;0.725640;0.725490;0.725490;0
20220102 205700;0.725480;0.725510;0.725380;0.725510;0
20220102 205800;0.725480;0.725580;0.725380;0.725390;0
20220102 205900;0.725390;0.725590;0.725390;0.725540;0
20220102 210000;0.725540;0.725540;0.725420;0.725440;0
20220102 210100;0.725420;0.725440;0.725370;0.725430;0
20220102 210200;0.725450;0.725500;0.725370;0.725370;0
20220102 210300;0.725370;0.725370;0.725200;0.725220;0
20220102 210400;0.725260;0.725380;0.725260;0.725290;0
20220102 210500;0.725280;0.725280;0.725080;0.725100;0
20220102 210600;0.725090;0.725110;0.724900;0.724960;0
20220102 210700;0.724940;0.724970;0.724870;0.724920;0
20220102 210800;0.724910;0.724920;0.724620;0.724620;0
20220102 210900;0.724640;0.724670;0.724510;0.724630;0
20220102 211000;0.724620;0.724830;0.724620;0.724820;0
20220102 211100;0.724830;0.724830;0.724730;0.724790;0
20220102 211200;0.724750;0.724910;0.724660;0.724780;0
20220102 211300;0.724790;0.724980;0.724770;0.724930;0
20220102 211400;0.724930;0.725090;0.724880;0.724970;0
20220102 211500;0.724960;0.725030;0.724930;0.724980;0
20220102 211600;0.725000;0.725030;0.725000;0.725020;0
20220102 211700;0.725000;0.725010;0.725000;0.725010;0
20220102 211800;0.725010;0.725080;0.725010;0.725080;0
20220102 211900;0.725080;0.725180;0.725040;0.725070;0
20220102 212000;0.725090;0.725140;0.725060;0.725090;0
20220102 212100;0.725050;0.725050;0.724970;0.725030;0
20220102 212200;0.725040;0.725230;0.724980;0.725220;0
20220102 212300;0.725220;0.725220;0.725120;0.725180;0
20220102 212400;0.725170;0.725200;0.725140;0.725140;0
20220102 212500;0.725140;0.725150;0.725040;0.725050;0
20220102 212600;0.725050;0.725180;0.725050;0.725130;0
20220102 212700;0.725140;0.725180;0.725130;0.725180;0
20220102 212800;0.725170;0.725190;0.725160;0.725190;0
20220102 212900;0.725180;0.725250;0.725160;0.725220;0
20220102 213000;0.725220;0.725230;0.725110;0.725120;0
20220102 213100;0.725110;0.725240;0.725110;0.725210;0
20220102 213200;0.725230;0.725280;0.725230;0.725280;0
20220102 213300;0.725310;0.725320;0.725270;0.725290;0
20220102 213400;0.725280;0.725290;0.725170;0.725180;0
20220102 213500;0.725170;0.725230;0.725170;0.725180;0
20220102 213600;0.725170;0.725190;0.725070;0.725080;0
20220102 213700;0.725080;0.725080;0.724940;0.724960;0
20220102 213800;0.724940;0.724950;0.724880;0.724920;0
20220102 213900;0.724910;0.724910;0.724830;0.724830;0
20220102 214000;0.724840;0.724970;0.724840;0.724970;0
20220102 214100;0.724960;0.725100;0.724950;0.725100;0
20220102 214200;0.725110;0.725290;0.725110;0.725280;0
20220102 214300;0.725290;0.725310;0.725270;0.725280;0
20220102 214400;0.725280;0.725410;0.725280;0.725400;0
20220102 214500;0.725430;0.725490;0.725360;0.725480;0
20220102 214600;0.725480;0.725580;0.725480;0.725570;0
20220102 214700;0.725580;0.725580;0.725340;0.725350;0
20220102 214800;0.725330;0.725420;0.725330;0.725390;0
20220102 214900;0.725380;0.725380;0.725280;0.725280;0
20220102 215000;0.725290;0.725290;0.725220;0.725240;0
20220102 215100;0.725230;0.725230;0.725140;0.725170;0
20220102 215200;0.725170;0.725180;0.725110;0.725170;0
20220102 215300;0.725180;0.725180;0.725120;0.725120;0
